task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
skyscanner/info_gathering/flights/easy/1,"{""task"":""Find a direct flight from London to Berlin on in 2 days. Budget is under ₹25,000. Extract exact price."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""London"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""require_direct"":true,""max_price"":25000.0}]]}}",real,skyscanner,travel,flights,easy,Use the Direct flights only filter.,15,validation,null
skyscanner/info_gathering/flights/easy/2,"{""task"":""Find a direct flight from New York to Miami on in 4 days. Budget is under ₹25,000. Extract exact price."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""New York"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""require_direct"":true,""max_price"":25000.0}]]}}",real,skyscanner,travel,flights,easy,Use the Direct flights only filter.,15,validation,null
skyscanner/info_gathering/flights/easy/3,"{""task"":""Find a direct flight from Paris to Rome on in 6 days. Budget is under ₹25,000. Extract exact price."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""Paris"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""require_direct"":true,""max_price"":25000.0}]]}}",real,skyscanner,travel,flights,easy,Use the Direct flights only filter.,15,validation,null
skyscanner/info_gathering/flights/medium/1,"{""task"":""Find flights from Tokyo to Seoul on in 4 days. Must fly Japan Airlines, max 1 stop, under ₹80,000."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""Tokyo"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""max_stops"":1,""airlines"":[""Japan Airlines""],""max_price"":80000.0}]]}}",real,skyscanner,travel,flights,medium,Use Airlines and Stops filters.,15,validation,null
skyscanner/info_gathering/flights/medium/2,"{""task"":""Find flights from Sydney to Bali on in 8 days. Must fly Qantas, max 1 stop, under ₹80,000."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""Sydney"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""max_stops"":1,""airlines"":[""Qantas""],""max_price"":80000.0}]]}}",real,skyscanner,travel,flights,medium,Use Airlines and Stops filters.,15,validation,null
skyscanner/info_gathering/flights/medium/3,"{""task"":""Find flights from Dubai to Mumbai on in 12 days. Must fly Emirates, max 1 stop, under ₹80,000."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""Dubai"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""max_stops"":1,""airlines"":[""Emirates""],""max_price"":80000.0}]]}}",real,skyscanner,travel,flights,medium,Use Airlines and Stops filters.,15,validation,null
skyscanner/info_gathering/flights/hard/1,"{""task"":""Search for business class flights from Toronto to Paris on in 3 days. Fly with Singapore Airlines, ensure it is direct, and keep it under ₹350,000."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""Toronto"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""require_direct"":true,""airlines"":[""Singapore Airlines""],""max_price"":350000.0,""cabin_classes"":[""business"",""biz""]}]]}}",real,skyscanner,travel,flights,hard,"Set cabin class, direct stops, specific airline, and ensure price is within budget.",15,validation,null
skyscanner/info_gathering/flights/hard/2,"{""task"":""Search for business class flights from Hong Kong to Tokyo on in 6 days. Fly with United, ensure it is direct, and keep it under ₹350,000."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""Hong Kong"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""require_direct"":true,""airlines"":[""United""],""max_price"":350000.0,""cabin_classes"":[""business"",""biz""]}]]}}",real,skyscanner,travel,flights,hard,"Set cabin class, direct stops, specific airline, and ensure price is within budget.",15,validation,null
skyscanner/info_gathering/flights/hard/3,"{""task"":""Search for business class flights from Los Angeles to New York on in 9 days. Fly with British Airways, ensure it is direct, and keep it under ₹350,000."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""Los Angeles"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""require_direct"":true,""airlines"":[""British Airways""],""max_price"":350000.0,""cabin_classes"":[""business"",""biz""]}]]}}",real,skyscanner,travel,flights,hard,"Set cabin class, direct stops, specific airline, and ensure price is within budget.",15,validation,null
skyscanner/info_gathering/flights/hard/4,"{""task"":""Search for business class flights from Singapore to Paris on in 12 days. Fly with Singapore Airlines, ensure it is direct, and keep it under ₹350,000."",""url"":""https://www.skyscanner.net/"",""user_metadata"":{""location"":""Singapore"",""timezone"":""UTC"",""timestamp"":1779217433},""eval_config"":{""_target_"":""navi_bench.skyscanner.skyscanner_url_match.SkyscannerInfoGathering"",""queries"":[[{""require_direct"":true,""airlines"":[""Singapore Airlines""],""max_price"":350000.0,""cabin_classes"":[""business"",""biz""]}]]}}",real,skyscanner,travel,flights,hard,"Set cabin class, direct stops, specific airline, and ensure price is within budget.",15,validation,null
