task_id,Comments,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
ticketmaster/sports/lakers/no_resale/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for a Los Angeles Lakers home game and find standard tickets only (filter out Verified Resale) during {dateRange}."", ""queries"": [[{""event_names"": [""lakers""], ""exclude_resale"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/theater/hamilton/budget/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Hamilton (NY) theater tickets priced under $350 for {dateRange}."", ""queries"": [[{""event_names"": [""hamilton""], ""event_categories"": [""theater"", ""arts""], ""max_price"": 350.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/comedy/jokoy_chappelle_soundcheck/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 'Soundcheck Series' comedy event featuring Jo Koy and hosted by Dave Chappelle scheduled for {dateRange}."", ""queries"": [[{""event_names"": [""jo koy"", ""dave chappelle"", ""soundcheck series""], ""require_available"": false}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,comedy,null,null,null,validation,null
ticketmaster/comedy/jo_koy_chappelle/yellow_springs/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 'Soundcheck Series' comedy event featuring Jo Koy and Dave Chappelle in Yellow Springs, OH during {dateRange}. Navigate to the event page and check ticket availability."", ""queries"": [[{""event_names"": [""jo koy"", ""dave chappelle""], ""cities"": [""yellow springs""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,comedy,null,null,null,validation,null
ticketmaster/festivals/bottlerock/saturday/101,There is no need to mention city in the query since city is not explicitly mentioned in the task.,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the BottleRock Napa Valley festival. Find the event specifically for {dateRange}."", ""queries"": [[{""event_names"": [""bottlerock napa valley""], ""require_available"": false}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,festivals,null,null,null,validation,null
ticketmaster/concerts/backstreet_boys/standard_show/101,added venues,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 'Backstreet Boys: Into The Millennium' concert at the Sphere in Las Vegas. Find tickets for {dateRange}. Look for the available options."", ""queries"": [[{""event_names"": [""backstreet boys: into the millennium""], ""cities"": [""las vegas""], ""venues"":[""sphere""],""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,concerts,null,null,null,validation,null
ticketmaster/sports/wwe/raw_seattle/101,corrected the event query,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for WWE Monday Night Raw in Seattle. Verify ticket availability for the show on {dateRange}."", ""queries"": [[{""event_names"": [""wwe monday night raw""], ""cities"": [""seattle""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Mondays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/wwe/smackdown_pittsburgh_standard/101,"exclude_resale"": true not sure abt this query","{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the WWE Friday Night Smackdown event in Pittsburgh on {dateRange}. Look for only the standard admission tickets."", ""queries"": [[{""event_names"": [""smackdown"", ""friday night smackdown""], ""cities"": [""pittsburgh""], ""exclude_resale"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/family/monster_jam/discovery_dates/101,"""require_available"": false ? or true","{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for Monster Jam on Ticketmaster and use the date filter to show events during {dateRange}."", ""queries"": [[{""event_names"": [""monster jam""], ""require_available"": false}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,family,null,null,null,validation,null
ticketmaster/family/monster_jam/grand_rapids_freestyle/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for 'Monster Jam Freestyle Mania' in Grand Rapids scheduled for {dateRange}."", ""queries"": [[{""event_names"": [""monster jam freestyle mania""], ""cities"": [""grand rapids""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Detroit"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,family,null,null,null,validation,null
