,task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
Abhijit ,ebay/search/mechanical_watch/0,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I've been thinking about getting a vintage mechanical watch for a while now — something that feels classic and well-crafted rather than modern. I'm not looking for anything too flashy, so darker tones like black or brown dial color would suit me best. I don't want to overspend, but I also don't want something cheap — ideally somewhere in the $100–$500 range. Since it's a bit of a treat, I'd prefer free shipping and would rather not deal with anything used or refurbished, so only new condition please. I usually like to start by browsing the highest-priced options first within my range to get a feel for the better-quality pieces "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_nkw=vintage+mechanical+watch&_udlo=100&_udhi=500&LH_BIN=1&LH_ItemCondition=1000&LH_FS=1&_sop=16&rt=nc&_stpos=&Color=Black%7CBrown&WatchMovement=Mechanical%7CAutomatic&Dial%2520Color=Black%7CBrown&_dcat=31387 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,hard,null,null,validation,null
Abhijit ,ebay/search//1,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m looking to do some outdoor cooking and I really need a Smoke grill, but here's the thing: it has to be Stainless Steel because I’m tired of things rusting out on me. I don’t have much space, so I’m hunting for something Portable and Medium-sized. Also—and this is the most important part—I need it to be super lightweight, definitely under 10 pounds, because I plan on carrying it around. What have you got that fits that description? "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_dcat=151621&_fsrp=1&rt=nc&_from=R40&_nkw=smoke+grill&_sacat=0&Fuel%2520Type=Wood&_fcid=1&Type=Smoker&Material=Stainless%2520Steel&Features=Portable&Grill%2520Size=Medium&Item%2520Weight=Less%2520Than%252010%2520lb ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/search//2,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m looking to upgrade my kitchen gear and I've decided on a Japanese knife set, but I'm being specific about the main blade. I need it to be a Chef's Knife—nothing too small, so show me options with a blade length of 8, 9, or 10 inches. I want them to be brand new and made of Stainless Steel or Ceramic. Since they'll be my go-to tools, they need to have Universal food compatibility. Also, I’m only looking at listings that offer Free International Shipping so I don't get hit with massive delivery fees. "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_nkw=japanese+knife+set&_sacat=0&_from=R40&LH_FS=1&Type=Chef%2527s%2520Knife&Blade%2520Length=8%2520in%7C10%2520in%7C9%2520in&Material=Stainless%2520Steel%7CCeramic&Food%2520Compatibility=Universal&_dcat=177005&rt=nc&LH_ItemCondition=1000 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/search//3,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m looking to seriously upgrade my desk setup with a high-end wireless mechanical keyboard, but I’m being pretty specific about the tech. It’s got to be a Gaming model with USB-C connectivity because I’m done with proprietary cables. I’m looking for something premium—think $150 or more—and it absolutely needs to be Illuminated with a Plug & Play setup so I can just get to work. I’m sticking to a classic Black or White aesthetic and a standard QWERTY layout. "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_dcat=33963&_udlo=150&_fsrp=1&rt=nc&_from=R40&Color=White%7CBlack&Type=Gaming&_nkw=wireless+mechanical+keyboard&_sacat=0&Keyboard%2520Layout=QWERTY%2520%2528Standard%2529&Connectivity=USB%252DC&Features=Plug%2520%2526%2520Play%7CIlluminated ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/search//4,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m finally upgrading the master bedroom and I need a massive bed—something in a King or California King size since we have the floor space now. Here’s the catch: I’m a total hot sleeper, so I need that Gel Memory Foam and memory foam feel but it absolutely must have Cooling Technology so I don't wake up drenched. I’m looking for that perfect 'Goldilocks' zone for firmness—somewhere between Soft and Medium Firm—and nothing too thin or ridiculously tall, so keep the profile around 8 to 12 inches. Since it's for our main room, it needs to be the Adult version, ideally Hypoallergenic with a cover I can zip off and wash to keep things clean. What’s the best high-end option that fits that vibe "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_fsrp=1&rt=nc&_from=R40&_nkw=mattress&_sacat=0&_dcat=131588&Firmness=Medium%2520Firm%7CSoft&Size=California%2520King%7CKing&Thickness=11%2520%252D%252012%2520in%7C8%2520%252D%252010%2520in&Type=Memory%2520Foam%7CGel%2520Memory%2520Foam&Features=Hypoallergenic%7CCooling%2520Technology%7CRemovable%2520Cover&Department=Adults ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/search//5,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" To get back to these specific search results through a natural, ""human"" story filled with conversational noise and indirect details, you can use the following prompt:

""I’m looking to finally pull the trigger on a serious home theater upgrade. I’ve got my heart set on a 4K OLED television because I want those perfect black levels for movie nights. I have a pretty large wall to fill, so show me something in the 60 to 80-inch range. Since I do a bit of competitive gaming, a 120Hz refresh rate is a must-have, along with HDR to really make the colors pop. I also need it to be Smart Home Compatible so I can control it with my current setup. I’m fine with either New or Used as long as it has a thin bezel for that sleek, modern look—oh, and I’m trying to be eco-conscious, so only show me units with a 10-star Energy Star rating. Give me the best matches for this. "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_dcat=11071&_fsrp=1&rt=nc&_from=R40&_nkw=4k+oled+television&_sacat=0&Screen%2520Size=60%252D69%2520in%7C70%252D80%2520in&Refresh%2520Rate=120%2520Hz&Smart%2520TV%2520Features=Smart%2520Home%2520Compatible&Audio%252FVideo%2520Inputs=HDMI&Energy%2520Star=10%2520Stars&Maximum%2520Resolution=2160p%2520%25284K%2529&Display%2520Technology=OLED&LH_ItemCondition=3%7C4&Features=HDR%2520TV%7CThin%2520Bezel ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/search//6,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m looking for a sprinkler systems for gardens and farms for my lawn and some newly planted areas out back. Since I’ll be moving it around quite a bit, I’d prefer something lightweight, so plastic is fine for the material. The main thing is that I need to be able to control where the water goes, so it definitely needs to have an adjustable spray length so I'm not hitting the fence. What do you have that’s easy to set up for a standard garden? "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_nkw=sprinkler+systems+for+gardens+and+farms&_sacat=0&_from=R40&Type=Oscillating%2520Sprinkler&Material=Plastic&Suitable%2520For=Planted%2520Areas%7CLawn%2520Irrigation&Features=Adjustable%2520Spray%2520Length&_dcat=20542 ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/search//7,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I'm looking for a new dining table set to anchor my space, and I'm really set on a Square shape to keep the seating symmetrical. I need flexibility for hosting, so show me sets that can seat 4, 6, or even 8 people. Quality is a big deal for me, so I only want to see Solid Wood—specifically Cherry or Mahogany—or even a nice Stone top. I'm sticking to a classic color palette of Black, Brown, or White so it fits the aesthetic of my dining and living area. Also, since I'm undecided on the height, show me both standard around 30 inches and counter-height around 36 inches options. "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_dcat=107578&_fsrp=1&rt=nc&_from=R40&_nkw=dining+table+set&_sacat=0&Shape=Square&Material=Solid%2520Wood%7CCherry%7CMahogany%7CStone&Color=Black%7CBrown%7CWhite&Room=Dining%2520Room%7CLiving%2520Room&Seating%2520Capacity=4%7C5%7C6%7C8&Item%2520Height=29%2520%252D%252031%2520in%7C35%2520%252D%252037%2520in ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/search//8,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m on the hunt for some Ray-Ban sunglasses, but I’m being very specific about the optics. I need them to be Polarized with Glass lenses for the best clarity—polycarbonate just doesn't cut it for me. I’m looking for a Black frame made of Metal, Stainless Steel, or Acetate, and I’m interested in Round, Aviator, or Cat Eye styles to keep that Modern or Motorcycle vibe. For the lenses, I want some variety, so show me anything in Blue, Brown, Gray, Green, or Orange. Give me options that fits that premium, high-contrast look. "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_dcat=79720&_fsrp=1&rt=nc&_from=R40&_nkw=ray+ban+sunglasses&_sacat=0&Frame%2520Color=Black&Lens%2520Color=Brown%7CBlue%7COrange%7CGray%7CGreen&Style=Aviator%7CRound%7CCat%2520Eye&Lens%2520Technology=Polarized&Frame%2520Material=Metal%7CStainless%2520Steel%7CAcetate&Theme=Modern%7CMotorcycle&Lens%2520Material=Glass ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
Abhijit ,ebay/search//9,"{""_target_"": ""navi_bench.ebay.ebay_url_match.generate_task_config"",""url"": ""https://www.ebay.com"",""task"": "" I’m looking for a professional-grade under-sink water purifier for my home because I want the system completely hidden. I’m really focused on water quality and health, so show me 8-stage or 6-stage systems that include an Alkaline Ionizer to help with pH balance. It’s important that it uses Carbon or Charcoal filtration specifically to get rid of that chlorine taste and odor from the tap. Since it’s a permanent fixture, I want something durable made of Stainless Steel that comes with at least a 2-year warranty. What are the best multi-stage household options that fit that description? "",""gt_url"": ["" https://www.ebay.com/sch/i.html?_dcat=20684&_fsrp=1&rt=nc&_from=R40&_nkw=water+purifier&_sacat=0&Type=Under%2520Sink%2520Filter%7CFaucet%2520Filter%7CUnder%252DSink&Filtration%2520Method=Carbon%252FCharcoal%7CAlkaline%2520Ionizer&Suitable%2520For=Household&Material=Metal%7CStainless%2520Steel&Contaminant%2520Removal=Chlorine%2520Taste%2520%2526%2520Odor&Number%2520of%2520Filtration%2520Stages=8%252DStages%7C6%252DStages&Manufacturer%2520Warranty=2%2520Years ""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,ebay,marketplace,search,medium,null,null,validation,null
