task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
navi_bench/zillow/for_sale_basic/0,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Find homes for sale in Los Angeles CA, with at least 3 bedrooms priced under $800,000."", ""location"": ""Los Angeles, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""ground_truth_url"": ""https://www.zillow.com/los-angeles-ca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-120.3618057421875%2C%22east%22%3A-116.4616592578125%2C%22south%22%3A32.73674116326156%2C%22north%22%3A35.28625594628051%7D%2C%22mapZoom%22%3A8%2C%22usersSearchTerm%22%3A%22Los%20Angeles%20CA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12447%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22min%22%3Anull%2C%22max%22%3A800000%7D%2C%22beds%22%3A%7B%22min%22%3A3%2C%22max%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,validation,null
navi_bench/zillow/for_sale_basic/1,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Search for homes for sale in San Francisco CA, priced between $500,000 and $1,500,000."", ""location"": ""San Francisco, CA, United States"", ""timezone"": ""America/Los_Angeles"", ""ground_truth_url"": ""https://www.zillow.com/san-francisco-ca/?category=SEMANTIC&searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-122.56688205126953%2C%22east%22%3A-122.29977694873047%2C%22south%22%3A37.69424396803593%2C%22north%22%3A37.856251187304245%7D%2C%22usersSearchTerm%22%3A%22San%20Francisco%20CA%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22min%22%3A500000%2C%22max%22%3A1500000%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,validation,null
navi_bench/zillow/for_sale_basic/2,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Find homes for sale in Austin TX with at least 4 bedrooms and 3 bathrooms."", ""location"": ""Austin, TX, United States"", ""timezone"": ""America/Chicago"", ""ground_truth_url"": ""https://www.zillow.com/austin-tx/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-98.35036320507812%2C%22east%22%3A-97.28194279492187%2C%22south%22%3A29.93934838280436%2C%22north%22%3A30.647248115854257%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A10221%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A4%7D%2C%22baths%22%3A%7B%22min%22%3A3%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22Austin%20TX%22%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,train,null
navi_bench/zillow/for_sale_basic/3,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Search for homes for sale in Miami FL, with 2+ bedrooms under $500,000."", ""location"": ""Miami, FL, United States"", ""timezone"": ""America/New_York"", ""ground_truth_url"": ""https://www.zillow.com/miami-fl/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-80.61157560253906%2C%22east%22%3A-80.07736539746094%2C%22south%22%3A25.5184306032084%2C%22north%22%3A25.88779613884553%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A12700%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A2%7D%2C%22price%22%3A%7B%22max%22%3A500000%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Miami%20FL%22%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,train,null
navi_bench/zillow/for_sale_basic/4,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Find homes for sale in Seattle WA, priced between minimum $300,000 and maximum $700,000 with 2+ bedrooms and 2+ bathroom."", ""location"": ""Seattle, WA, United States"", ""timezone"": ""America/Los_Angeles"", ""ground_truth_url"": ""https://www.zillow.com/seattle-wa/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-122.61190110253906%2C%22east%22%3A-122.07769089746094%2C%22south%22%3A47.47481347805551%2C%22north%22%3A47.75115895251995%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A16037%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22min%22%3A300000%2C%22max%22%3A700000%7D%2C%22beds%22%3A%7B%22min%22%3A2%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Seattle%20WA%22%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,train,null
navi_bench/zillow/for_sale_basic/5,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Search for all homes for sale in Denver CO, maximum price $450,000."", ""location"": ""Denver, CO, United States"", ""timezone"": ""America/Denver"", ""ground_truth_url"": ""https://www.zillow.com/denver-co/?searchQueryState=%7B%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22north%22%3A39.926567998140115%2C%22south%22%3A39.61148670235762%2C%22east%22%3A-104.57377039746093%2C%22west%22%3A-105.10798060253906%7D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A450000%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22usersSearchTerm%22%3A%22Denver%20CO%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A11093%2C%22regionType%22%3A6%7D%5D%2C%22pagination%22%3A%7B%7D%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,train,null
navi_bench/zillow/for_sale_basic/6,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Find homes for sale in Chicago IL, with 3+ bedrooms, 2+ bathrooms, priced between $200,000 and $600,000."", ""location"": ""Chicago, IL, United States"", ""timezone"": ""America/Chicago"", ""ground_truth_url"": ""https://www.zillow.com/chicago-il/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-88.26615220507813%2C%22east%22%3A-87.19773179492188%2C%22south%22%3A41.527855010905164%2C%22north%22%3A42.13871196524698%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A17426%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22min%22%3A200000%2C%22max%22%3A600000%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22Chicago%20IL%22%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,train,null
navi_bench/zillow/for_sale_basic/7,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Search for homes with  5+ bedrooms in Phoenix AZ, priced with maximum $900,000."", ""location"": ""Phoenix, AZ, United States"", ""timezone"": ""America/Phoenix"", ""ground_truth_url"": ""https://www.zillow.com/phoenix-az/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-112.65928120507812%2C%22east%22%3A-111.59086079492187%2C%22south%22%3A33.26390266119177%2C%22north%22%3A33.94672738516707%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A40326%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22price%22%3A%7B%22max%22%3A900000%7D%2C%22beds%22%3A%7B%22min%22%3A5%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22Phoenix%20AZ%22%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,train,null
navi_bench/zillow/for_sale_basic/8,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Find homes for sale in Nashville TN, with 3+ bathrooms."", ""location"": ""Nashville, TN, United States"", ""timezone"": ""America/Chicago"", ""ground_truth_url"": ""https://www.zillow.com/nashville-tn/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-87.31945570507813%2C%22east%22%3A-86.25103529492188%2C%22south%22%3A35.864656261190476%2C%22north%22%3A36.526277191121636%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A6118%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22baths%22%3A%7B%22min%22%3A3%7D%7D%2C%22isListVisible%22%3Atrue%2C%22usersSearchTerm%22%3A%22Nashville%20TN%22%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,train,null
navi_bench/zillow/for_sale_basic/9,"{""_target_"": ""navi_bench.zillow.zillow_url_match.generate_task_config"", ""url"": ""https://www.zillow.com"", ""task"": ""Search for 3+ bedroom homes for sale in Portland OR, starting at mimimum $400,000."", ""location"": ""Portland, OR, United States"", ""timezone"": ""America/Los_Angeles"", ""ground_truth_url"": ""https://www.zillow.com/portland-or/?category=SEMANTIC&searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A-122.96279910253907%2C%22east%22%3A-122.42858889746094%2C%22south%22%3A45.42996588186773%2C%22north%22%3A45.71691185264944%7D%2C%22usersSearchTerm%22%3A%22Portland%20OR%22%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A13373%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22price%22%3A%7B%22min%22%3A400000%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%7D""}",real,zillow,realestate,for_sale_basic,null,null,null,train,null
