task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
momondo/flights/jfk_lax_budget/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Search for a flight from New York (JFK) to Los Angeles (LAX) for 1 adult on {dateRange} under $400."", ""queries"": [[{""origins"": [""jfk""], ""destinations"": [""lax""], ""max_price"": 400.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Thursday""}}",real,momondo,travel,flights,easy,null,null,validation,null
momondo/flights/jfk_lax_westjet/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Look up flights from New York (JFK) to Los Angeles (LAX) for 1 adult on {dateRange}. I prefer to fly with JetBlue. Find an option under $400."", ""queries"": [[{""origins"": [""jfk""], ""destinations"": [""lax""], ""airlines"": [""jetblue""], ""max_price"": 400.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Tuesday""}}",real,momondo,travel,flights,medium,null,null,validation,null
momondo/flights/jfk_lax_porter/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Find flights operated by Spirit Airlines from New York (JFK) to Los Angeles (LAX) on {dateRange} for 1 adult. Show me options under $450."", ""queries"": [[{""origins"": [""jfk""], ""destinations"": [""lax""], ""airlines"": [""spirit""], ""max_price"": 450.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Monday""}}",real,momondo,travel,flights,medium,null,null,validation,null
momondo/flights/jfk_lax_1stop/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Search for a flight from New York (JFK) to Los Angeles (LAX) for 1 adult on {dateRange}. A maximum of 1 stop is acceptable. Find an option below $400."", ""queries"": [[{""origins"": [""jfk""], ""destinations"": [""lax""], ""max_stops"": 1, ""max_price"": 400.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Wednesday""}}",real,momondo,travel,flights,easy,null,null,validation,null
momondo/flights/jfk_lax_cheapest/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""What is the cheapest flight available from New York (JFK) to Los Angeles (LAX) on {dateRange} for 1 adult? It should be under $400."", ""queries"": [[{""origins"": [""jfk""], ""destinations"": [""lax""], ""max_price"": 400.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Friday""}}",real,momondo,travel,flights,easy,null,null,validation,null
momondo/flights/jfk_lax_direct_budget/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Find a direct flight from New York (JFK) to Los Angeles (LAX) for 1 adult on {dateRange} under $300."", ""queries"": [[{""origins"": [""jfk""], ""destinations"": [""lax""], ""require_direct"": true, ""max_price"": 300.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Saturday""}}",real,momondo,travel,flights,medium,null,null,validation,null
momondo/flights/jfk_lax_flair/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Check Momondo for flights from New York (JFK) to Los Angeles (LAX) operated by Frontier Airlines on {dateRange} for 1 adult. Keep the price under $300."", ""queries"": [[{""origins"": [""jfk""], ""destinations"": [""lax""], ""airlines"": [""frontier""], ""max_price"": 300.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""first week of next month""}}",real,momondo,travel,flights,medium,null,null,validation,null
momondo/flights/jfk_lax_flair_direct/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Are there any direct flights with Frontier Airlines from New York (JFK) to Los Angeles (LAX) on {dateRange} for 1 adult priced under $350?"", ""queries"": [[{""origins"": [""jfk""], ""destinations"": [""lax""], ""require_direct"": true, ""airlines"": [""frontier""], ""max_price"": 350.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Sunday""}}",real,momondo,travel,flights,hard,null,null,validation,null
momondo/flights/ord_mia_cheapest/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""What is the cheapest flight available from Chicago (ORD) to Miami (MIA) on {dateRange}? Find an option under $1400."", ""queries"": [[{""origins"": [""ord""], ""destinations"": [""mia""], ""max_price"": 1400.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Wednesday""}}",real,momondo,travel,flights,easy,null,null,validation,null
momondo/flights/ord_mia_1stop/101,"{""_target_"": ""navi_bench.momondo.momondo_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.momondo.com/"", ""task"": ""Search for a flight from Chicago (ORD) to Miami (MIA) on {dateRange}. I need an option with a maximum of 1 stop priced under $3000."", ""queries"": [[{""origins"": [""ord""], ""destinations"": [""mia""], ""max_stops"": 1, ""max_price"": 3000.0}]], ""location"": ""New York, NY, United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""second week of next month""}}",real,momondo,travel,flights,medium,null,null,validation,null
