task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
etsy/search/digital_format_travel_journal/0,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for Etsy's picks (Etsy's best) travel journal with digital download format (Item format)"",""gt_url"": [""https://www.etsy.com/search?q=travel%20journal&instant_download=true&is_merch_library=true""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,easy,null,null,validation,null
etsy/search/handmade_leather_wallets/1,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for handmade leather wallets on Etsy under 50 USD with free shipping, and ship to United States."",""gt_url"": [""https://www.etsy.com/search?q=handmade+leather+wallets&max=50&ship_to=US&free_shipping=true""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/wedding_template/2,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for can be gift wrapped (ordering options) digital downloads (Item format) of wedding invitation templates between 5 USD – 20 USD and sort by low to high price."",""gt_url"": [""https://www.etsy.com/search?q=wedding+invitation+templates&instant_download=true&min=5&max=20&gift_wrap=true&order=price_asc""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/framed_macrame_living_room/3,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for framed (framing) star seller (Etsy’s best) macrame wall for living room (room) over 50 USD with free delivery (special offers), sorted by top reviews."",""gt_url"": [""https://www.etsy.com/search?q=macrame%20wall&is_star_seller=true&order=highest_reviews&min=50&attr_346=2341&attr_349=2351&free_shipping=true""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/gift_wrapped_scented candles/4,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for Star seller (Etsy's best) on sale (Special offers) scented candles that can be gift wrapped (ordering options), with estimated delivery within 7 days."",""gt_url"": [""https://www.etsy.com/search?q=scented%20candles&is_discounted=true&is_star_seller=true&delivery_days=7&order=most_relevant&gift_wrap=true""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/on_sale_wooden_toys/5,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for on sale (Special Offers) Etsy's picks (Etsy's Best) wooden toys under 50 USD"",""gt_url"": [""https://www.etsy.com/search?q=wooden+toys&is_merch_library=true&max=50&is_discounted=true""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/newest_resin_lamp/6,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for on sale (Special Offers) Star Seller (Etsy's Best) resin lamp under 100 USD with free delivery and sort by newest"",""gt_url"": [""https://www.etsy.com/search?q=resin+lamp&max=100&free_shipping=true&is_discounted=true&is_star_seller=true&order=date_desc""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/personalizable_rug/7,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for personalizable (can be personalized) runner type (Rug type) rugs over 100 USD that deliver to Japan with free delivery (Special offers)."",""gt_url"": [""https://www.etsy.com/search?q=rugs&free_shipping=true&ship_to=JP&min=100&attr_353=2375&attr_344=2315""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/wooden_cabinate_under_200/8,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for cabinets with material as wood under 200 USD that deliver to Germany."",""gt_url"": [""https://www.etsy.com/search?q=cabinet&ship_to=DE&attr_357=286&max=200""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
etsy/search/on_sale_tote_bag/9,"{""_target_"": ""navi_bench.etsy.etsy_url_match.generate_task_config"",""url"": ""https://www.etsy.com"",""task"": ""Search for On sale (Special Offers) Tote bag between 50 USD - 200 USD that arrives within 7 days (Estimated delivery)"",""gt_url"": [""https://www.etsy.com/search?q=tote%20bag&is_discounted=true&min=50&max=200&delivery_days=7""],""location"": ""United States"",""timezone"": ""America/Chicago"",""timestamp"": null}",real,etsy,marketplace,search,medium,null,null,validation,null
