task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
booking/stays/singapore_business_hotel_central/1,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Singapore for 1 adult from {checkinDate} to {checkoutDate} which are at less than 1 mile from centre of Singapore with free WiFi and a review score of 8 or higher sorted by Highest property ratings. Identify and extract key details for the highest-ranked central hotel options with free WiFi based on relevance, guest ratings, and overall value."",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Singapore&checkin={checkinDate}&checkout={checkoutDate}&group_adults=1&no_rooms=1&nflt=review_score%3D80%3Bhotelfacility%3D107%3Bdistance%3D1610%3Bht_id%3D204&order=class""],""location"": ""Singapore"",""timezone"": ""Asia/Singapore"",""values"": {""checkinDate"": ""{now() + timedelta(35)}"", ""checkoutDate"": ""{now() + timedelta(38)}""},""timestamp"": null}",real,booking,travel,hotels,medium,null,null,validation,null
booking/stays/paris_couple_city_center/3,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Paris for 2 adults from {checkinDate} to {checkoutDate} which are at less than 1 mile from centre of paris with a review score of 8 or higher. Identify and extract key details for the most relevant city-center hotels by prioritizing location advantage, guest ratings, and overall value"",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Paris&checkin={checkinDate}&checkout={checkoutDate}&group_adults=2&no_rooms=1&nflt=distance%3D1610%3Breview_score%3D80""],""location"": ""France"",""timezone"": ""Europe/Paris"",""values"": {""checkinDate"": ""{now() + timedelta(40)}"", ""checkoutDate"": ""{now() + timedelta(44)}""},""timestamp"": null}",real,booking,travel,hotels,easy,null,null,validation,null
booking/stays/rome_saturday_couple_central/4,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Rome for 2 adults on saturday in next month and checkout on sunday in next month which are at less than 1 mile from centre of rome with a review score of 8 or higher and free cancellation. Identify and extract key details for the most relevant city-center stays by prioritizing location advantage, guest ratings, and overall value."",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Rome&checkin={checkinDate}&checkout={checkoutDate}&group_adults=2&no_rooms=1&nflt=review_score%3D80%3Bfc%3D2%3Bdistance%3D1610""],""location"": ""Italy"",""timezone"": ""Europe/Rome"",""values"": {""checkinDate"": ""saturday in next month"", ""checkoutDate"": ""sunday in next month""},""timestamp"": null}",real,booking,travel,hotels,hard,null,null,validation,null
booking/stays/amsterdam_central_canal_view/6,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Amsterdam with 5 star rating for 2 adults from {checkinDate} to {checkoutDate} which are at less than 1 mile from centre of amsterdam with a review score of 8 or higher including free wifi. Summarize the listings including name of the stay, price, review score, and facilities like airport shuttle and free WiFi."",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Amsterdam&checkin={checkinDate}&checkout={checkoutDate}&group_adults=2&no_rooms=1&nflt=distance%3D1610%3Breview_score%3D80%3Bclass%3D5%3Bhotelfacility%3D107""],""location"": ""Netherlands"",""timezone"": ""Europe/Amsterdam"",""values"": {""checkinDate"": ""{now() + timedelta(42)}"", ""checkoutDate"": ""{now() + timedelta(46)}""},""timestamp"": null}",real,booking,travel,hotels,hard,null,null,validation,null
booking/stays/amsterdam_firstweek_couple/7,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Amsterdam for 2 adults during the first week of the next month which are at less than 1 mile from centre of amsterdam with a review score of 8 or higher sorted by highest property ratings. Highlight top-rated central stays that offer the best combination of rating and convenience."",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Amsterdam&checkin={checkinDate}&checkout={checkoutDate}&group_adults=2&no_rooms=1&nflt=distance%3D1610%3Breview_score%3D80&order=class""],""location"": ""Netherlands"",""timezone"": ""Europe/Amsterdam"",""values"": {""checkinDate"": ""the first week of the next month"", ""checkoutDate"": ""the first week of the next month""},""timestamp"": null}",real,booking,travel,hotels,medium,null,null,validation,null
booking/stays/paris_firstweek_central/8,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Paris for 2 adults during the first week of the next month which are at less than 1 mile from centre of paris with a review score of 8 or higher, sorted by highest property ratings. Identify highly rated central stay options."",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Paris&checkin={checkinDate}&checkout={checkoutDate}&group_adults=2&no_rooms=1&nflt=review_score%3D80%3Bdistance%3D1610&order=class""],""location"": ""France"",""timezone"": ""Europe/Paris"",""values"": {""checkinDate"": ""the first week of the next month"", ""checkoutDate"": ""the first week of the next month""},""timestamp"": null}",real,booking,travel,hotels,medium,null,null,validation,null
booking/stays/berlin_firstweek_couple_central/9,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Berlin for 2 adults during the first week of the next month which are at less than 1 mile from centre of berlin, above $300 with a review score of 8 or higher. Recommend the most suitable stay options by balancing rating, location, and overall value."",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Berlin&checkin={checkinDate}&checkout={checkoutDate}&group_adults=2&no_rooms=1&nflt=review_score%3D80%3Bprice%3DUSD-300-max-1%3Bdistance%3D1610""],""location"": ""Germany"",""timezone"": ""Europe/Berlin"",""values"": {""checkinDate"": ""the first week of the next month"", ""checkoutDate"": ""the first week of the next month""},""timestamp"": null}",real,booking,travel,hotels,medium,null,null,validation,null
booking/stays/budapest_weekend_couple_central/12,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Budapest for 2 adults for weekends in the next month which are at less than 1 mile from centre of budapest, with a review score of 8 or higher. Provide a brief recap of the available central stays for weekends or just confirm the search results are displayed."",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Budapest&checkin={checkinDate}&checkout={checkoutDate}&group_adults=2&no_rooms=1&nflt=review_score%3D80%3Bdistance%3D1610""],""location"": ""Hungary"",""timezone"": ""Europe/Budapest"",""values"": {""checkinDate"": ""weekends in the next month"", ""checkoutDate"": ""weekends in the next month""},""timestamp"": null}",real,booking,travel,hotels,hard,null,null,validation,null
booking/stays/venice_firstweek_couple_central/13,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Venice for 2 adults during the first week of the next month which are at less than 1 mile from centre of venice with a review score of 8 or higher with breakfast included and free cancellation. Extract key details for the top central stay options with breakfast and free cancellation."",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Venice&checkin={checkinDate}&checkout={checkoutDate}&group_adults=2&no_rooms=1&nflt=review_score%3D80%3Bdistance%3D1610%3Bmealplan%3D1%3Bfc%3D2""],""location"": ""Italy"",""timezone"": ""Europe/Rome"",""values"": {""checkinDate"": ""the first week of the next month"", ""checkoutDate"": ""the first week of the next month""},""timestamp"": null}",real,booking,travel,hotels,hard,null,null,validation,null
booking/stays/singapore_weekend_business/18,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com"",""task"": ""Search for a stay in Singapore for 1 adult for weekends in the next month which are at less than 1 mile from centre of Singapore with free WiFi and a review score of 8 or higher. Summarize the listings including name of the stay, price, review score, and amenities like free WiFi."",""gt_url"": [""https://www.booking.com/searchresults.html?ss=Singapore&checkin={checkinDate}&checkout={checkoutDate}&group_adults=1&no_rooms=1&nflt=distance%3D1610%3Bhotelfacility%3D107%3Breview_score%3D80""],""location"": ""Singapore"",""timezone"": ""Asia/Singapore"",""values"": {""checkinDate"": ""weekends in the next month"", ""checkoutDate"": ""weekends in the next month""},""timestamp"": null}",real,booking,travel,hotels,medium,null,null,validation,null
