task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
vividseats/concerts/bruno_mars/las_vegas/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""Search for Bruno Mars concert tickets in Las Vegas during {dateRange}."", ""queries"": [[{""event_names"": [""bruno mars""], ""cities"": [""las vegas""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
vividseats/concerts/bruno_mars/glendale_budget/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""Find me tickets to see Bruno Mars in Glendale, AZ during {dateRange}."", ""queries"": [[{""event_names"": [""bruno mars""], ""cities"": [""glendale""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Phoenix"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
vividseats/concerts/bruno_mars/texas_options/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""I want to see Bruno Mars in Texas. Check the availability for shows in either Arlington or Houston during {dateRange}."", ""queries"": [[{""event_names"": [""bruno mars""], ""cities"": [""arlington"", ""houston""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
vividseats/concerts/bruno_mars/atlanta_deal/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""Search for Bruno Mars in Atlanta, GA during {dateRange}. Tickets should be priced below $210."", ""queries"": [[{""event_names"": [""bruno mars""], ""cities"": [""atlanta""], ""max_price"": 210.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
vividseats/concerts/bruno_mars/charlotte_standard/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""Can you check Vivid Seats to see if there are any tickets available for Bruno Mars in Charlotte, NC during {dateRange}?"", ""queries"": [[{""event_names"": [""bruno mars""], ""cities"": [""charlotte""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
vividseats/concerts/bts/el_paso_general/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""Search for BTS concert tickets in El Paso, TX and check if there is any general availability during {dateRange}."", ""queries"": [[{""event_names"": [""bts""], ""cities"": [""el paso""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Denver"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
vividseats/concerts/bts/el_paso_strict_budget/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""Find me tickets to see BTS at Sun Bowl Stadium in El Paso during {dateRange}, find me options priced under $190."", ""queries"": [[{""event_names"": [""bts""], ""venues"": [""sun bowl stadium""], ""cities"": [""el paso""], ""max_price"": 190.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Denver"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
vividseats/concerts/bts/super_seller_only/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""Search for BTS tickets in El Paso during {dateRange}, please ensure to find a 'Super Seller' ticket."", ""queries"": [[{""event_names"": [""bts""], ""cities"": [""el paso""], ""require_super_seller"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Denver"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
vividseats/concerts/bts/bowl_1_specific/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""Check the Vivid Seats listings for BTS in El Paso during {dateRange}. Check specifically for tickets in Section Bowl 1."", ""queries"": [[{""event_names"": [""bts""], ""cities"": [""el paso""], ""sections"": [""bowl 1""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Denver"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
vividseats/concerts/bts/bowl_12_super_seller/101,"{""_target_"": ""navi_bench.vividseats.vivid_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.vividseats.com/"", ""task"": ""Find Bowl 12 for the BTS concert in El Paso at Sun Bowl stadium during {dateRange}, but it must be sold by a Super Seller."", ""queries"": [[{""event_names"": [""bts""], ""venues"": [""sun bowl stadium""], ""cities"": [""el paso""], ""sections"": [""bowl 12""], ""require_super_seller"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Denver"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,vividseats,e_commerce,concerts,null,null,null,validation,null
