task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
rome2rio/routes/del_lon_extreme_budget/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""Are there any transport routes from Delhi to London that cost less than USD 2000? If found, reply with 'Yes, there is at least one option' and provide the details. Otherwise, say exactly 'No options found'."", ""queries"": [[{""origins"": [""delhi""], ""destinations"": [""london""], ""max_price"": 2000.0}]], ""location"": ""India"", ""timezone"": ""Asia/Kolkata""}",real,rome2rio,travel,routes,easy,null,null,validation,null
rome2rio/routes/del_lon_city_airport/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""Find a route from Delhi to London that lands specifically at London City Airport and has a total travel duration of less than 15 hours (900 minutes)."", ""queries"": [[{""origins"": [""delhi""], ""destinations"": [""london""], ""modes"": [""london city airport""], ""max_duration"": 900}]], ""location"": ""India"", ""timezone"": ""Asia/Kolkata""}",real,rome2rio,travel,routes,medium,null,null,validation,null
rome2rio/schedules/del_lon_lufthansa/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""Check the flight schedules from Delhi to London on {dateRange}. Are there any flight combinations that include Lufthansa and have a total duration under 24 hours (1440 mins)?"", ""queries"": [[{""origins"": [""delhi""], ""destinations"": [""london""], ""modes"": [""lufthansa""], ""max_duration"": 1440}]], ""location"": ""India"", ""timezone"": ""Asia/Kolkata"", ""values"": {""dateRange"": ""next Friday""}}",real,rome2rio,travel,schedules,medium,null,null,validation,null
rome2rio/schedules/del_lon_air_astana_budget/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""I need a flight itinerary from Delhi to London on {dateRange} operated partially or fully by Air Astana. It must have a travel duration under 35 hours (2100 mins)."", ""queries"": [[{""origins"": [""delhi""], ""destinations"": [""london""], ""modes"": [""air astana""], ""max_duration"": 2100}]], ""location"": ""India"", ""timezone"": ""Asia/Kolkata"", ""values"": {""dateRange"": ""next Monday""}}",real,rome2rio,travel,schedules,hard,null,null,validation,null
rome2rio/hotels/par_budget_5star/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""Find a 5-star hotel in Paris for {dateRange} that costs less than USD 300 per night."", ""queries"": [[{""cities"": [""paris""], ""min_stars"": 5, ""max_price"": 300.0}]], ""location"": ""France"", ""timezone"": ""Europe/Paris"", ""values"": {""dateRange"": ""next weekend""}}",real,rome2rio,travel,hotels,easy,null,null,validation,null
rome2rio/hotels/par_high_score_budget/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""Are there any highly-rated hotels (score 9.0+) in Paris for {dateRange} that are cheaper than USD 500 per night? If options are found, reply 'Yes' with the name, else 'No options found'."", ""queries"": [[{""cities"": [""paris""], ""min_score"": 9.0, ""max_price"": 500.0}]], ""location"": ""France"", ""timezone"": ""Europe/Paris"", ""values"": {""dateRange"": ""upcoming Monday""}}",real,rome2rio,travel,hotels,medium,null,null,validation,null
rome2rio/hotels/par_price_bracket_4star/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""Search Rome2Rio to find a 4-star hotel in Paris for {dateRange}. I am looking for something strictly between USD 150 and USD 400 with a review score of at least 8.5."", ""queries"": [[{""cities"": [""paris""], ""min_stars"": 4, ""min_price"": 150.0, ""max_price"": 400.0, ""min_score"": 8.5}]], ""location"": ""France"", ""timezone"": ""Europe/Paris"", ""values"": {""dateRange"": ""next Wednesday""}}",real,rome2rio,travel,hotels,hard,null,null,validation,null
rome2rio/hotels/par_arrondissement_specific/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""Find a hotel located exactly in the 10th arr. of Paris for {dateRange}, priced under USD 400, with a guest rating over 8.5."", ""queries"": [[{""cities"": [""paris""], ""modes"": [""10th arr""], ""max_price"": 400.0, ""min_score"": 8.5}]], ""location"": ""France"", ""timezone"": ""Europe/Paris"", ""values"": {""dateRange"": ""first week of next month""}}",real,rome2rio,travel,hotels,hard,null,null,validation,null
rome2rio/experiences/kul_batu_budget/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""Are there any Batu Caves tours or experiences in Kuala Lumpur on {dateRange} that cost less than USD 40? Reply with 'Yes, there is at least one option' or exactly 'No options found'."", ""queries"": [[{""cities"": [""kuala lumpur""], ""modes"": [""batu caves""], ""max_price"": 40.0}]], ""location"": ""Malaysia"", ""timezone"": ""Asia/Kuala_Lumpur"", ""values"": {""dateRange"": ""next Tuesday""}}",real,rome2rio,travel,experiences,easy,null,null,validation,null
rome2rio/experiences/kul_full_day_premium/101,"{""_target_"": ""navi_bench.rome2rio.rome2rio_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.rome2rio.com/"", ""task"": ""I am looking for a highly-rated (4.3+), full-day or long experience (duration over 8 hours / 480 mins) in Kuala Lumpur on {dateRange} that is priced strictly between USD 15 and USD 50."", ""queries"": [[{""cities"": [""kuala lumpur""], ""min_rating"": 4.3, ""min_duration"": 480, ""min_price"": 15, ""max_price"": 50}]], ""location"": ""Malaysia"", ""timezone"": ""Asia/Kuala_Lumpur"", ""values"": {""dateRange"": ""first week of next month""}}",real,rome2rio,travel,experiences,hard,null,null,validation,null
