task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
booking/flights/roundtrip_chicago_miami_economy/0,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com/flights"",""task"": ""Search for a round-trip economy flight from Chicago (CHI) to Miami (MIA) departing on {departureDate} and returning on {returnDate} for 1 adult sorted by cheapest. After searching, summarize the available results and provide a brief recap of the listings including flight times, airlines, and prices."",""gt_url"": [""https://www.booking.com/flights/results/?from=CHI.CITY&to=MIA.CITY&type=ROUNDTRIP&depart={departureDate}&return={returnDate}&adults=1&cabinClass=ECONOMY&sort=CHEAPEST""],""location"": ""United States"",""timezone"": ""America/Chicago"",""values"": {""departureDate"": ""{now() + timedelta(27)}"", ""returnDate"": ""{now() + timedelta(32)}""},""timestamp"": null}",real,booking,travel,flights,hard,null,null,validation,null
booking/flights/oneway_mumbai_delhi/1,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com/flights"",""task"": ""Search for a one-way business flight from Mumbai (BOM) to New Delhi (DEL) on monday in next month for 1 adult. Summarize the available results and provide a brief recap including flight times, airlines, and prices."",""gt_url"": [""https://www.booking.com/flights/results/?from=BOM.CITY&to=DEL.AIRPORT&type=ONEWAY&depart={departureDate}&adults=1&cabinClass=BUSINESS""],""location"": ""India"",""timezone"": ""Asia/Kolkata"",""values"": {""departureDate"": ""monday in next month""},""timestamp"": null}",real,booking,travel,flights,medium,null,null,validation,null
booking/flights/london_to_paris_monday_nextmonth/2,"{""_target_"":""navi_bench.booking.booking_url_match.generate_task_config"",""url"":""https://www.booking.com/flights"",""task"":""Find a one-way flight from London to Paris departing on a Monday in the next month for 1 adult in premium economy class. Summarize the available results and provide a brief recap including flight times, airlines, and prices."",""gt_url"":[""https://www.booking.com/flights/results/?from=LON.CITY&to=PAR.CITY&type=ONEWAY&depart={departureDate}&adults=1&cabinClass=PREMIUM_ECONOMY""],""location"":""United Kingdom"",""timezone"":""Europe/London"",""values"":{""departureDate"":""Monday in next month""},""timestamp"":null}",real,booking,travel,flights,hard,null,null,validation,null
booking/flights/roundtrip_mumbai_bangkok_economy/3,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com/flights"",""task"": ""Search for a round-trip economy flight from Mumbai (BOM) to Bangkok (BKK) departing on {departureDate} and returning on {returnDate} for 1 adult. Highlight the best flight options based on price, duration, and convenience."",""gt_url"": [""https://www.booking.com/flights/results/?from=BOM.CITY&to=BKK.CITY&type=ROUNDTRIP&depart={departureDate}&return={returnDate}&adults=1&cabinClass=ECONOMY""],""location"": ""India"",""timezone"": ""Asia/Kolkata"",""values"": {""departureDate"": ""{now() + timedelta(50)}"", ""returnDate"": ""{now() + timedelta(57)}""},""timestamp"": null}",real,booking,travel,flights,medium,null,null,validation,null
booking/flights/roundtrip_delhi_goa_weekend/4,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com/flights"",""task"": ""Search for a round-trip First class flight from New Delhi (DEL) to Goa (GOI) departing on saturday in next month and returning on sunday in next month for 1 adult.Extract key flight details for the top options."",""gt_url"": [""https://www.booking.com/flights/results/?from=DEL.AIRPORT&to=GOI.AIRPORT&type=ROUNDTRIP&depart={departureDate}&return={returnDate}&adults=1&cabinClass=FIRST""],""location"": ""India"",""timezone"": ""Asia/Kolkata"",""values"": {""departureDate"": ""saturday in next month"", ""returnDate"": ""sunday in next month""},""timestamp"": null}",real,booking,travel,flights,medium,null,null,validation,null
booking/flights/delhi_to_dubai_firstweek/5,"{""_target_"":""navi_bench.booking.booking_url_match.generate_task_config"",""url"":""https://www.booking.com/flights"",""task"":""Find a round-trip economy flight from Delhi to Dubai during the first week of the next month for 1 adult and returning on sunday in next month. Just reach the search results page and confirm flights are displayed"",""gt_url"":[""https://www.booking.com/flights/results/?from=DEL.AIRPORT&to=DXB.CITY&type=ROUNDTRIP&depart={departureDate}&return={returnDate}&adults=1&cabinClass=ECONOMY""],""location"":""India"",""timezone"":""Asia/Kolkata"",""values"":{""departureDate"":""the first week of the next month"",""returnDate"":""sunday in next month""},""timestamp"":null}",real,booking,travel,flights,medium,null,null,validation,null
booking/flights/roundtrip_tokyo_osaka_economy/6,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com/flights"",""task"": ""Search for a round-trip economy flight from Tokyo (TYO) to Osaka (OSA) departing on {departureDate} and returning on {returnDate} for 1 adult with only non-stop flights. Collect and summarize the top non-stop flight options with schedule and fares"",""gt_url"": [""https://www.booking.com/flights/results/?from=TYO.CITY&to=OSA.CITY&type=ROUNDTRIP&depart={departureDate}&return={returnDate}&adults=1&cabinClass=ECONOMY&stops=0""],""location"": ""Japan"",""timezone"": ""Asia/Tokyo"",""values"": {""departureDate"": ""{now() + timedelta(20)}"", ""returnDate"": ""{now() + timedelta(23)}""},""timestamp"": null}",real,booking,travel,flights,medium,null,null,validation,null
booking/flights/oneway_sanfrancisco_seattle_economy/7,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com/flights"",""task"": ""Search for a one-way economy flight from San Francisco (SFO) to Seattle (SEA) on {departureDate} for 1 adult with only non-stop flights. Extract and highlight the lowest available price across all flight options."",""gt_url"": [""https://www.booking.com/flights/results/?from=SFO.AIRPORT&to=SEA.CITY&type=ONEWAY&depart={departureDate}&adults=1&cabinClass=ECONOMY&stops=0""],""location"": ""United States"",""timezone"": ""America/Los_Angeles"",""values"": {""departureDate"": ""{now() + timedelta(18)}""},""timestamp"": null}",real,booking,travel,flights,medium,null,null,validation,null
booking/flights/oneway_sydney_melbourne_saturday/8,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com/flights"",""task"": ""Search for a one-way economy flight from Sydney (SYD) to Melbourne (MEL) on saturday in next month for 1 adult with only non-stop flights. Provide a brief recap of the non-stop flight options or just confirm the flights are listed."",""gt_url"": [""https://www.booking.com/flights/results/?from=SYD.CITY&to=MEL.CITY&type=ONEWAY&depart={departureDate}&adults=1&cabinClass=ECONOMY&stops=0""],""location"": ""Australia"",""timezone"": ""Australia/Sydney"",""values"": {""departureDate"": ""saturday in next month""},""timestamp"": null}",real,booking,travel,flights,medium,null,null,validation,null
booking/flights/roundtrip_toronto_vancouver_economy/9,"{""_target_"": ""navi_bench.booking.booking_url_match.generate_task_config"",""url"": ""https://www.booking.com/flights"",""task"": ""Search for a round-trip economy flight from Toronto (YTO) to Vancouver (YVR) departing on {departureDate} and returning on {returnDate} for 1 adult. Identify flights with the shortest layovers and minimal transit hassle."",""gt_url"": [""https://www.booking.com/flights/results/?from=YTO.CITY&to=YVR.CITY&type=ROUNDTRIP&depart={departureDate}&return={returnDate}&adults=1&cabinClass=ECONOMY""],""location"": ""Canada"",""timezone"": ""America/Toronto"",""values"": {""departureDate"": ""{now() + timedelta(32)}"", ""returnDate"": ""{now() + timedelta(37)}""},""timestamp"": null}",real,booking,travel,flights,medium,null,null,validation,null
