task_id,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
kayak/flights/del_bom_budget/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Search for a direct flight from New Delhi (DEL) to Mumbai (BOM) under $71."", ""queries"": [[{""origins"": [""del""], ""destinations"": [""bom""], ""require_direct"": true, ""max_price"": 71.0}]], ""location"": ""India"", ""timezone"": ""Asia/Kolkata""}",real,kayak,travel,flights,null,null,null,validation,null
kayak/flights/blr_del_indigo/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Find an IndiGo flight from Bangalore (BLR) to Delhi (DEL) with a maximum of 1 stop."", ""queries"": [[{""origins"": [""blr""], ""destinations"": [""del""], ""airlines"": [""indigo""], ""max_stops"": 1}]], ""location"": ""India"", ""timezone"": ""Asia/Kolkata""}",real,kayak,travel,flights,null,null,null,validation,null
kayak/hotels/lexington_park_breakfast/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Find a 3-star or higher hotel in Lexington Park that includes free breakfast."", ""queries"": [[{""cities"": [""lexington park""], ""min_stars"": 3, ""require_freebies"": [""free breakfast""]}]], ""location"": ""United States"", ""timezone"": ""America/New_York""}",real,kayak,travel,hotels,null,null,null,validation,null
kayak/hotels/denver_high_score/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Search for hotels in Denver with a review score of at least 8.5 and priced under $176."", ""queries"": [[{""cities"": [""denver""], ""min_score"": 8.5, ""max_price"": 176.0}]], ""location"": ""United States"", ""timezone"": ""America/Denver""}",real,kayak,travel,hotels,null,null,null,validation,null
kayak/cars/denver_min_passengers/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Find a rental car picking up in Denver that fits at least 5 passengers for under $94."", ""queries"": [[{""pickup_locations"": [""denver""], ""min_passengers"": 5, ""max_price"": 94.0}]], ""location"": ""United States"", ""timezone"": ""America/Denver""}",real,kayak,travel,cars,null,null,null,validation,null
kayak/flights/lax_jfk_direct/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Find a direct flight from Los Angeles (LAX) to New York (JFK) for {dateRange}."", ""queries"": [[{""origins"": [""lax""], ""destinations"": [""jfk""], ""require_direct"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""next Saturday""}}",real,kayak,travel,flights,null,null,null,validation,null
kayak/flights/ord_mia_budget_airline/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Search for an American Airlines or Delta flight from Chicago (ORD) to Miami (MIA) for {dateRange} under $176."", ""queries"": [[{""origins"": [""ord""], ""destinations"": [""mia""], ""airlines"": [""american airlines"", ""delta""], ""max_price"": 176.0}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""next Saturday""}}",real,kayak,travel,flights,null,null,null,validation,null
kayak/flights/rsw_dtw_budget/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Find a direct flight from Fort Myers (RSW) to Detroit (DTW) for {dateRange} under $353."", ""queries"": [[{""origins"": [""rsw""], ""destinations"": [""dtw""], ""require_direct"": true, ""max_price"": 353.0}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Saturday""}}",real,kayak,travel,flights,easy,null,null,validation,null
kayak/flights/rsw_dtw_spirit_direct/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Search for a direct Spirit Airlines flight from Fort Myers (RSW) to Detroit (DTW) for {dateRange}."", ""queries"": [[{""origins"": [""rsw""], ""destinations"": [""dtw""], ""airlines"": [""spirit airlines""], ""require_direct"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Sunday""}}",real,kayak,travel,flights,medium,null,null,validation,null
kayak/flights/rsw_dtw_southwest_stops/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""I need a Southwest flight from Fort Myers (RSW) to Detroit (DTW) for {dateRange} with no more than 1 stop."", ""queries"": [[{""origins"": [""rsw""], ""destinations"": [""dtw""], ""airlines"": [""southwest""], ""max_stops"": 1}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Saturday""}}",real,kayak,travel,flights,medium,null,null,validation,null
kayak/flights/rsw_dtw_multi_airline_min_price/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Look for a direct flight (over $471) from Fort Myers (RSW) to Detroit (DTW) for {dateRange}, flying with either Spirit Airlines or Frontier."", ""queries"": [[{""origins"": [""rsw""], ""destinations"": [""dtw""], ""airlines"": [""spirit airlines"", ""frontier""], ""require_direct"": true, ""min_price"": 471.0}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Sunday""}}",real,kayak,travel,flights,hard,null,null,validation,null
kayak/flights/rsw_dtw_complex_combo/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Find a flight from Fort Myers (RSW) to Detroit (DTW) for {dateRange} on Delta or Southwest. It must have at most 1 stop and cost less than $600."", ""queries"": [[{""origins"": [""rsw""], ""destinations"": [""dtw""], ""airlines"": [""delta"", ""southwest""], ""max_stops"": 1, ""max_price"": 600.0}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""next Sunday""}}",real,kayak,travel,flights,hard,null,null,validation,null
kayak/flights/lax_lhr_extreme_budget/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Are there any Premium Economy flights for 3 adults from Los Angeles (LAX) to London (LHR) on {dateRange} that are less than $1,118? If flight options are found, respond with: 'Yes, there is at least one option' followed by the airline and price of one option. If no options are found, respond with exactly: 'No options found'."", ""queries"": [[{""origins"": [""lax""], ""destinations"": [""lhr""], ""max_price"": 1118.0, ""cabin_classes"":[""Premium Economy""]}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""next Tuesday""}}",real,kayak,travel,flights,easy,null,null,validation,null
kayak/flights/lax_lhr_direct_budget/101,"{""_target_"": ""navi_bench.kayak.kayak_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.kayak.com/"", ""task"": ""Check Kayak for me: Are there any direct Premium Economy flights for 3 adults from Los Angeles (LAX) to London (LHR) on {dateRange} priced under $1,647? If flight options are found, respond with: 'Yes, there is at least one option' followed by the airline and price. If no options are found, respond with exactly: 'No options found'."", ""queries"": [[{""origins"": [""lax""], ""destinations"": [""lhr""], ""require_direct"": true, ""max_price"": 1647.0, ""cabin_classes"":[""Premium Economy""]}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""next Thursday""}}",real,kayak,travel,flights,medium,null,null,validation,null
